Date Coord-System Altitude Latitude Longitude D_deg D_min I_deg I_min H_nT X_nT Y_nT Z_nT F_nT dD_min dI_min dH_nT dX_nT dY_nT dZ_nT dF_nT
2019.5 E K100 70.3 30.8    15d 19m    79d  4m    9908.0   9555.8   2618.1  51278.5  52226.9    15.6       1.7        -16.2    -27.5     39.2     52.6     48.6
2018 E K100 70.3 30.8    14d 56m    79d  1m    9932.5   9597.1   2559.3  51199.6  52154.2    15.6       1.7        -16.5    -27.5     39.2     52.6     48.5
2017.5 M K470 70.3 30.8    11d 54m    78d 57m    8578.7   8394.4   1768.8  43916.3  44746.4    15.4       1.8        -16.1    -23.6     34.2     41.9     38.0
2016.5 E M1042 70.3 30.8    15d 25m    78d 59m   10369.4   9995.9   2758.0  53298.0  54297.3    15.5       1.7        -16.7    -28.6     40.7     56.0     51.7
2015.5 E F30000 70.3 30.8    15d  6m    78d 58m   10351.7   9994.6   2695.4  53059.9  54060.2    15.5       1.7        -17.0    -28.5     40.6     55.7     51.4
2018.7 E F30000 -70.3 -30.8     0d -46m   -60d 20m   18888.4  18886.7   -252.2 -33167.3  38168.6    -1.7       1.0        -25.9    -26.0     -9.2     67.0    -71.0
2018.7 E F30000 -70 -30    -1d 19m   -60d 13m   18814.0  18809.0   -434.8 -32866.8  37870.7    -1.7       0.9        -26.0    -26.2     -8.5     66.5    -70.7
2018.7 E F30000 43 -30   -10d 16m    58d 47m   23732.5  23353.0  -4227.0  39165.6  45794.9    11.3      -3.8         38.5     51.8     69.9    -34.6     -9.7
2018 E F30000 43 -54   -16d 58m    63d 20m   21918.3  20965.2  -6393.1  43635.6  48831.1     9.9      -5.8         46.9     63.3     46.9    -90.3    -59.7
2018 E K1.3 48.123 16.123     4d 14m    64d 31m   20937.5  20880.3   1546.3  43928.4  48663.0     9.0       1.3          5.7      1.6     55.2     53.7     50.9
2019 E K1.3 48.123 16.123     4d 23m    64d 32m   20943.2  20881.9   1601.6  43982.1  48713.9     9.0       1.3          5.8      1.6     55.2     53.7     50.9
2019.8849 E K1.3 48.123 16.123     4d 31m    64d 33m   20948.4  20883.3   1650.5  44029.6  48759.0     9.0       1.2          5.9      1.6     55.2     53.7     51.0
